SPORE,Total renewable capacity,Electrolysis capacity ,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
0,0.415435626,0.191,1,0.984699912,0.379129297,0.67466975
1,0.320656826,0.354,0.607053379,0.920690231,0.37941537,0.550322223
2,0.55428535,0.403,0.997971649,0.710497876,0.266971465,0.487368073
3,0.551714777,0.399,0.987369992,0.709598848,0.264613564,0.457353363
4,0.645357872,0.76,1,0.054679562,0.519734154,0.563936704
5,0.265278705,0.265,1,0.940473812,0.378906395,0.507453904
6,0.123196375,0.276,1,0.571792135,0.182923997,0.21723539
7,0.21306117,0.288,1,0.960226537,0.375731608,0.488824549
8,0.15377733,0.044,1,0.997897051,0.370731291,0.517924878
9,0.216302087,0.283,1,0.947934784,0.408147952,0.515869397
10,0.094399309,0.251,0.999833902,0.906341164,0.446683328,0.542478922
11,0.186363775,0.306,1,0.98197204,0.354437423,0.503898732
12,0.549415666,0.404,0.985726396,0.714105142,0.273954874,0.466202453
13,0.44368977,0.382,0.943459534,0.927677436,0.354661205,0.557696254
14,0.495766034,0.3,1,0.978775928,0.455759571,0.564060563
15,0.166336573,0.29,1,0.933231228,0.314463138,0.463699698
16,0.188510536,0.04,1,0.997460363,0.341344188,0.506766587
17,0.534848162,0.308,1,0.963518901,0.459897117,0.546027883
18,0.135636508,0.244,1,0.968335223,0.349922216,0.485718892
19,0.544967023,0.408,0.986236539,0.715270755,0.275670743,0.490140775
20,0.134290281,0.274,1,0.96757772,0.360825234,0.520822911
21,0.490605497,0.298,1,0.994206354,0.371873175,0.679383894
22,0.08081239,0.185,1,0.947866903,0.346427435,0.531528705
23,0.534197208,0.303,1,0.987510946,0.452940353,0.547122047
24,0.241711425,0.318,0.670831664,0.905362744,0.313298026,0.542249653
25,0.189568681,0.306,1,0.990686232,0.354435086,0.507737637
26,0.14999349,0.3,1,0.959796372,0.380191864,0.501801764
27,0.289760089,0,0.99994726,0.997850361,0.44417917,0.831111362
28,0.528917562,0.303,1,0.987732441,0.470572426,0.551235863
29,0.216302087,0.283,1,0.947934784,0.408147952,0.515869397
30,0.131672618,0.31,1,0.959294096,0.331436379,0.499262904
31,0.160087422,0.253,1,0.974054908,0.356054106,0.514154707
