SPORES,wind_onshore,wind_offshore,roof_mounted_pv,open_field_pv,biofuel_supply,waste_supply,electrolysis,battery,heat_storage_big,heat_storage_small,hydrogen_storage
0,3379.83,0.05,324.36,1641.73,472.8934683,28.27,398.12,7.7,80.34,1151.76,11.82
1,3167.7,154.05,0.03,1682.03,646.533936,28.19,490,30.4,69.97,1201.94,2.4
2,3095.8,30.73,54.91,2665.79,921.6323783,33.73,518.16,114.83,707.98,3732.42,3241.02
3,3079.34,30.54,54.41,2673.66,928.5863129,34.48,515.93,113.09,856.54,4043.84,3031.84
4,2914.41,421.13,0.01,2840.46,1370.764669,28.2,719.11,0.06,131.71,359.79,18.38
5,1788.86,1283.36,46.43,1685.24,179.3748854,28.2,440.07,11.66,91.29,1736.01,3.85
6,1713.3,901.3,147.51,1528.85,838.2739928,28.56,446.1,2.19,1014.81,2958.84,6.36
7,1777.84,1314.52,65.97,1457.05,125.6034114,28.21,452.92,0,100.89,2119.98,4.85
8,2067.22,959.42,16.4,1358.32,551.2276069,28.22,315.64,20.97,68.55,1414.52,6.67
9,1745.39,1344.19,27.29,1510.21,146.416796,28.2,450.24,10.22,87.62,1652.18,3.24
10,1923.29,1048.39,67.75,1147.57,463.6195855,28.25,432.14,7.3,108.38,1016.53,5.64
11,2264.69,1151.88,0.07,1102.36,70.55561011,28.19,463.18,20.51,71.28,1269.62,1.31
12,3095.11,29.13,56.64,2648.77,925.7953101,34.84,518.6,96.15,782.85,3738.18,2831.05
13,3166.17,9.34,12.89,2259.57,602.8803324,31.16,506.3,58.26,201.47,2144.21,785.22
14,2048.83,1077.7,53.81,2455.63,76.52929793,28.18,459.91,22.53,70.86,1776.88,0.44
15,1793.27,1275.28,52.23,1325.92,167.0940794,28.2,453.93,54.25,136.79,0.58,4.03
16,2002.2,944.1,84.9,1495.55,551.2322666,28.23,313.42,20.04,69.1,1921.88,5.59
17,2272,939.14,55.37,2510.55,87.8481505,28.18,464.22,69.82,72.02,0,0.25
18,1974.24,1171.02,0,1190.61,297.5842424,28.21,428.19,8.9,97.17,1541.89,5.1
19,3115.83,30.64,55.51,2611.61,909.3813149,35.53,520.47,0,800.82,4045.77,3649.98
20,2175.43,1021.84,154.45,979.29,287.124269,28.21,445.27,12.59,96.96,1664.26,0
21,3928.05,0,886,803.29,93.05389645,28.2,458.81,16.01,70.39,1262.75,3.77
22,1495.45,1336.16,0.92,1305.42,490.8990072,28.2,395.18,12.1,0.57,1652.56,4.62
23,2245.36,968.7,53.26,2507.39,63.42250603,28.18,461.8,25.92,70.76,1884.92,0.55
24,2675.82,470.6,0.09,1572.3,629.0656026,28.2,469.95,17.92,74.16,1401.05,3
